id,firstname,lastname,programCode,year,gender
2024-0001,Maria,Mendoza,BSCS,3,Female
2024-0002,Sofia,Dela Cruz,BSCE,3,Other
2024-0003,Sofia,Gonzales,BSED,2,Male
2024-0004,Leah,Dela Cruz,BSBA,3,Other
2024-0005,Mia,Velez,BSCS,5,Male
2024-0006,Emma,Rodriguez,BSBA,3,Male
2024-0007,Mia,Navarro,BSBA,2,Male
2024-0008,Mark,Navarro,BSN,3,Female
2024-0009,Isabela,Alvarez,BSBA,1,Female
2024-0010,Luis,Dela Cruz,BSED,5,Other
2024-0011,Emma,Rodriguez,BSCS,4,Male
2024-0012,Alex,Lopez,AB-EL,4,Male
2024-0013,Ana,Reyes,BSIT,1,Male
2024-0014,Leah,Castillo,BSN,1,Other
2024-0015,Rosa,Ramirez,AB-EL,5,Male
2024-0016,Maria,Ramos,BSBA,5,Female
2024-0017,Leah,Diaz,BSN,1,Other
2024-0018,Sofia,Garcia,BSBA,5,Male
2024-0019,Rosa,Gonzales,BSCS,4,Other
2024-0020,Ana,Rodriguez,BSED,2,Other
2024-0021,Mia,Rodriguez,BSBA,4,Female
2024-0022,Leah,Santos,BSCS,4,Female
2024-0023,Isabela,Flores,BSCE,2,Female
2024-0024,Jose,Diaz,BSCE,4,Other
2024-0025,Rosa,Cruz,BSBA,5,Male
2024-0026,Mark,Fernandez,BSED,2,Female
2024-0027,Ava,Garcia,BSBA,1,Female
2024-0028,Miguel,Rodriguez,BSCS,3,Other
2024-0029,Ana,Ramos,AB-EL,2,Other
2024-0030,Rosa,Diaz,AB-EL,1,Female
2024-0031,Mark,Alvarez,BSIT,2,Male
2024-0032,Pedro,Diaz,BSCE,2,Other
2024-0033,Luis,Ramos,BSCS,2,Male
2024-0034,Ethan,Flores,BSN,4,Other
2024-0035,Jane,Gonzales,BSCE,3,Female
2024-0036,Jane,Reyes,BSN,2,Male
2024-0037,Mia,Cruz,AB-EL,1,Male
2024-0038,Noah,Flores,BSBA,3,Other
2024-0039,Emma,Navarro,BSED,3,Other
